detailUrl,zpid,status,homeType,streetAddress,unit,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,lotAreaValue,lotAreaUnit,listingdate
https://www.zillow.com/homedetails/69-Glen-Park-Cres-Kitchener-ON-N2N-1G1/2073156814_zpid/,2073156814,Multi-family home for sale,MULTI_FAMILY,69 Glen Park Cres,,N2N1G1,Kitchener,ON,43.416332,-80.52478,887500,2,5,1176,7786.844,sqft,2024-04-04
https://www.zillow.com/homedetails/4-Nyles-Dr-48-Kitchener-ON-N2E-0G2/2064645357_zpid/,2064645357,Townhouse for sale,TOWNHOUSE,4 Nyles Dr #48,# 48,N2E0G2,Kitchener,ON,43.399017,-80.52432,679000,3,3,,,,2024-04-02
https://www.zillow.com/homedetails/5-Wellington-St-S-1511-Kitchener-ON-N2G-0E3/351478283_zpid/,351478283,Condo for sale,CONDO,5 Wellington St S #1511,# 1511,N2G0E3,Kitchener,ON,43.453884,-80.50307,459900,1,1,620,,,2024-06-27
https://www.zillow.com/homedetails/84-Everglade-Cres-Kitchener-ON-N2E-3Y5/348326875_zpid/,348326875,Multi-family home for sale,MULTI_FAMILY,84 Everglade Cres,,N2E3Y5,Kitchener,ON,43.41076,-80.52536,975000,2,3,1320,,,2024-06-20
https://www.zillow.com/homedetails/15-Wellington-St-S-2007-Cambridge-ON-N1R-3Y4/347739264_zpid/,347739264,Condo for sale,CONDO,15 Wellington St S #2007,# 2007,N1R3Y4,Cambridge,ON,43.45379,-80.50342,419900,1,1,580,,,2024-02-29
https://www.zillow.com/homedetails/5-Wellington-St-S-1806-Kitchener-ON-N2G-0E3/2053126218_zpid/,2053126218,Condo for sale,CONDO,5 Wellington St S #1806,# 1806,N2G0E3,Kitchener,ON,43.45401,-80.50314,579000,2,2,750,,,2024-06-19
https://www.zillow.com/homedetails/332-Woolwich-St-Kitchener-ON-N2K-4N4/350454618_zpid/,350454618,House for sale,SINGLE_FAMILY,332 Woolwich St,,N2K4N4,Kitchener,ON,43.498318,-80.48107,1600000,4,5,2794,,,2024-02-25
https://www.zillow.com/homedetails/30-Routley-St-Kitchener-ON-N2E-3X8/2061554914_zpid/,2061554914,House for sale,SINGLE_FAMILY,30 Routley St,,N2E3X8,Kitchener,ON,43.3992,-80.50263,1029000,3,4,,,,2024-05-08
https://www.zillow.com/homedetails/825-Stirling-Ave-S-Kitchener-ON-N2M-3K4/2070225935_zpid/,2070225935,House for sale,SINGLE_FAMILY,825 Stirling Ave S,,N2M3K4,Kitchener,ON,43.427,-80.49531,529900,1,3,975,7500,sqft,2024-03-22
https://www.zillow.com/homedetails/60-Frederick-St-3010-Kitchener-ON-N2H-2L7/2058852034_zpid/,2058852034,Condo for sale,CONDO,60 Frederick St #3010,# 3010,N2H2L7,Kitchener,ON,43.450596,-80.48708,439900,2,1,581,,,2024-03-03
https://www.zillow.com/homedetails/145-Hawkswood-Dr-Kitchener-ON-N2K-4J4/352318447_zpid/,352318447,House for sale,SINGLE_FAMILY,145 Hawkswood Dr,,N2K4J4,Kitchener,ON,43.496593,-80.4751,949000,4,3,2279,4903.43,sqft,2024-01-12
https://www.zillow.com/homedetails/648-Erinbrook-Dr-Kitchener-ON-N2E-2R1/352416474_zpid/,352416474,House for sale,SINGLE_FAMILY,648 Erinbrook Dr,,N2E2R1,Kitchener,ON,43.41047,-80.49347,879000,3,3,,,,2024-06-16
https://www.zillow.com/homedetails/320-Sims-Estate-Dr-Kitchener-ON-N2A-4L5/363554265_zpid/,363554265,House for sale,SINGLE_FAMILY,320 Sims Estate Dr,,N2A4L5,Kitchener,ON,43.440475,-80.40919,1849999,3,5,3193,7312.5075,sqft,2024-06-06
https://www.zillow.com/homedetails/220-Colton-Cir-Kitchener-ON-N2A-4K2/348751559_zpid/,348751559,House for sale,SINGLE_FAMILY,220 Colton Cir,,N2A4K2,Kitchener,ON,43.450134,-80.408165,999900,4,4,,,,2024-07-21
https://www.zillow.com/homedetails/10-Huntingdale-Dr-Kitchener-ON-N2A-3K5/358981392_zpid/,358981392,House for sale,SINGLE_FAMILY,10 Huntingdale Dr,,N2A3K5,Kitchener,ON,43.44496,-80.432594,1199000,4,4,2434,0.2612882093663912,acres,2024-07-01
https://www.zillow.com/homedetails/912-Forest-Creek-Ct-Kitchener-ON-N2R-0M6/2080015110_zpid/,2080015110,House for sale,SINGLE_FAMILY,912 Forest Creek Ct,,N2R0M6,Kitchener,ON,43.384045,-80.44578,2250000,4,4,3614,3439.4942,sqft,2024-06-22
